brand, product_name, shipping
EVGA,EVGA GeForce GTX 950 02G-P4-2957-KR 2GB SSC GAMING| Silent Cooling Gaming Video Graphics Card,Free Shipping
EVGA,EVGA GeForce GT 730 DirectX 12 4GB 128-Bit DDR3 PCI Express 2.0 04G-P3-2739-KR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce GT 730 DirectX 12 02G-P3-1733-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Graphics Card,Free Shipping
EVGA,EVGA GeForce GT 730 DirectX 12 (feature level 11_0) 1GB 64-Bit GDDR5 PCI Express 2.0 Low Profile Ready 01G-P3-3731-KR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce GT 710 DirectX 12 2GB 64-Bit DDR3 PCI Express 2.0 02G-P3-2713-KR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce GT 710 DirectX 12 2GB 64-Bit DDR3 PCI Express 2.0 02G-P3-2712-KR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce 8400 GS 512MB DirectX 10 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready 512-P3-1301-KR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce 8400 GS DirectX 10 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready 01G-P3-1302-LR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce 8400 GS DirectX 10 01G-P3-1302-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,$2.99 Shipping
EVGA,EVGA GeForce GTX 1050 SSC GAMING ACX 3.0 2GB GDDR5 DX12 OSD Support (PXOC) 02G-P4-6154-KR Video Graphics Card,Free Shipping
EVGA,EVGA GeForce GTX 460 Graphic Card - 720 MHz Core - 1 GB GDDR5 - PCI Express 2.0,Special Shipping
EVGA,EVGA 06G-P4-6265-KR  NVIDIA GeForce GTX 1060 SSC DT 6GB GDDR5 DVIHDMI3DisplayPort PCI-Express Video Card w ACX 3.0 Cooler,Free Shipping
EVGA,EVGA GeForce 210 DirectX 10.1 01G-P3-1313-KR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1080 Ti Black Edition GAMING| 11G-P4-6391-KR| 11GB GDDR5X| iCX Cooler & LED,Free Shipping
EVGA,EVGA GeForce GTX 1060 FTW2 GAMING| 9GHz| 06G-P4-6768-KR| 6GB GDDR5| iCX - 9 Thermal Sensors & LED G/P/M,$4.99 Shipping
EVGA,EVGA GeForce GT 730 DirectX 12 01G-P3-1732-KR 1GB 64-Bit GDDR5 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card,$2.99 Shipping
